Name,xanthos,VIC_1971-2000,WBM,WBMc,UNH_1986-1995
Arctic Ocean Islands,351.6393317,452.1844,74.96313638,74.96313638,105.57759
Northwest Territories,532.8359091,553.0325,186.2539723,236.0291156,389.36627
Siberia North Coast,207.0446454,210.9459,151.4685706,186.4411098,278.6652
Siberia West Coast,780.9829933,770.6761,588.0575318,695.793252,586.26605
Kara Sea Coast,212.8431337,216.07648,207.5026095,202.5654985,225.99791
Lena,406.1567973,424.40482,233.8274333,470.1008232,172.15414
Pacific and Arctic Coast,1479.299435,1469.7576,837.7425134,1021.768456,655.6988
Scandinavia North Coast,407.2582065,417.2763,289.7372843,300.1348016,352.25082
Russia Barents Sea Coast,217.4325148,219.26482,173.302786,237.468244,178.93022
Mackenzie,335.7258222,355.18634,100.729199,288.9590323,125.692406
Iceland,138.0114009,143.08688,71.474929,71.474929,68.15554
Sweden,168.9011489,172.96265,132.7569766,154.1317586,158.0584
Finland,56.539965,59.273815,82.037487,69.550837,41.85448
Northern Dvina,69.63757572,70.53849,54.87780987,74.70662388,59.07131
Hudson Bay Coast,632.3454111,646.49274,487.9980047,573.344027,539.14514
Scotland,83.04664401,77.81834,67.83721,67.83721,82.7034
Neva,39.30899371,43.8867,68.007235,61.261306,40.577854
Volga,327.5010066,340.54846,298.5724829,289.6005032,128.6601
Atlantic Ocean Seaboard,469.0007606,487.77652,368.861607,369.883787,403.83688
Baltic Sea Coast,13.82724443,14.652275,28.39998,28.39998,20.08892
Denmark - Germany Coast,15.05638509,16.657202,24.491753,24.491753,20.26478
Narva,11.13544607,10.906809,18.25913,14.434301,9.216773
Saskatchewan - Nelson,81.96008181,85.65931,100.825384,110.652627,79.18422
Ireland,38.26483526,39.00283,61.802206,61.802206,67.00672
Daugava,16.18894916,17.520954,23.827893,17.34405,13.18739
England and Wales,37.82843791,38.575966,55.088131,55.088131,82.9555
Fraser,79.62740417,79.226906,52.69021933,87.93955954,60.21722
Ems - Weser,14.62813221,16.980556,27.935663,22.254374,16.215063
Oder,21.00170235,21.376783,21.479614,19.435945,7.6077614
Wisla,33.83573724,36.74574,36.4449325,36.3737719,13.886829
Elbe,28.19428823,28.56364,33.85742659,23.94150302,13.015245
Rhine,73.99206,75.40552,87.4385793,80.12816306,79.37945
Poland Coast,8.338057476,9.118765,11.137526,10.865597,10.705326
Churchill,69.17375122,70.720345,55.245496,60.144888,59.494442
Neman,18.55758117,20.553751,24.703939,23.04553,13.016336
Scheldt,6.587836222,6.7018757,6.12893,5.907932,9.359218
Russia South East Coast,42.3604315,43.69621,48.881313,48.881313,52.10824
Ural,32.02138113,30.458824,13.93402286,11.03740085,7.6374717
Dnieper,53.98817786,57.85035,88.81108819,54.41855859,33.15974
St Lawrence,128.6330334,133.19179,144.271829,149.847628,145.77478
France West Coast,25.27219374,25.598696,23.431383,23.431383,25.7481
Gobi Interior,91.46011151,90.9877,6.62626728,7.47028994,8.625586
Amur,324.5656902,331.9021,303.6490751,362.786524,180.34613
Loire,37.09642529,37.865616,27.46145636,32.0841818,24.21163
Caspian Sea Coast,72.54594434,71.17933,42.63690684,38.89405454,32.46538
Seine,22.45871937,21.803585,11.82835342,14.31529972,13.466073
Black Sea North Coast,67.65576501,67.850876,40.92558132,32.97447634,38.074184
Yenisey,473.3485742,490.09244,282.9255189,636.1016033,294.73172
Dniester,4.10814838,4.348662,1.37668914,2.0042536,0.63012254
Italy East Coast,28.3934511,28.930553,37.0292177,37.0056227,33.09843
Japan,507.516642,526.385,386.312357,390.729227,330.3022
Caspian Sea East Coast,46.86869191,47.751118,16.60377403,16.60377403,26.207401
Don,82.55807712,80.80243,61.8116069,30.94564765,17.289114
Danube,244.2128154,258.19846,293.3478697,256.0810255,207.16719
Adriatic Sea - Greece - Black Sea Coast,116.6795516,120.30913,110.5996801,111.1136723,62.167995
Ob,528.3412308,541.2303,436.4762759,422.6860201,250.62794
Po,41.17584291,41.093628,41.8507195,44.1376817,48.289093
Amu Darya,46.95841822,43.461742,35.34956274,75.95040417,68.80913
Italy West Coast,25.46437231,25.807625,27.925329,27.905399,15.199542
Spain - Portugal Atlantic Coast,47.03356186,46.949238,59.30771,58.32572,32.23389
France South Coast,9.683518813,10.032752,6.3702587,6.3657557,3.5881515
Rhone,50.30712006,52.435898,49.6044295,53.2064003,55.013763
Mediterranean Sea Islands,15.53626135,16.089275,15.7272944,15.7272944,6.35632
Gironde,27.53695315,28.426258,23.049038,22.476644,14.355753
North and South Korea,130.2130329,132.68129,88.432417,93.873707,85.623886
Bo Hai - Korean Bay North Coast,74.89064405,76.12856,52.67109691,52.67109691,40.925453
Spain South and East Coast,14.48177346,15.050586,6.17152538,6.17152538,4.7251883
Lake Balkash,41.04213184,42.67287,16.25824646,17.40333754,12.998948
Tiber,7.193291376,7.3902764,8.264169,8.264169,5.0698442
Black Sea South Coast,104.2693706,107.57454,80.40834613,78.21032813,37.957405
Tagus,12.91857347,13.126763,13.65244631,14.07545239,6.051536
Caspian Sea South West Coast,82.08833653,86.0708,85.20503802,66.90866714,57.351917
Ebro,18.80798071,19.87929,13.49208602,27.07212358,10.696268
Douro,19.6176322,19.351706,23.24146942,24.62713537,11.593583
Mediterranean Sea East Coast,76.185775,76.8295,71.99482372,73.38449432,53.182846
Syr Darya,120.1352835,118.783936,41.90593555,51.18602473,42.10031
Ziya He Interior,42.89124104,43.73853,1.70905612,5.40933658,0.3932679
China Coast,321.7725984,328.132,199.9498567,213.9714867,208.74658
Huang He,83.62035006,84.82982,45.53154333,48.69097511,15.722664
Mediterranean South Coast,45.90525061,46.64539,21.92203867,21.92203867,12.364517
Guadiana,12.01581483,12.425206,4.40477008,6.27930753,3.8190973
Central Iran,42.82775313,43.79009,33.11448093,33.11448093,25.130672
Guadalquivir,7.994414815,8.392497,2.1255485,8.25123322,3.5564847
Tigris - Euphrates,131.4835983,132.72906,115.1206989,123.2600128,90.92908
Tarim Interior,40.94454066,41.59489,21.36867853,21.77493394,26.579348
Africa North West Coast,38.6879418,41.07108,10.2626282,9.85233698,3.0384328
Nile,223.9387505,225.44669,456.4998191,331.8811847,417.59146
Persian Gulf Coast,20.74097602,20.496946,2.22903558,2.22903558,3.6400125
Indus,156.6131998,154.33704,150.9667852,151.0650048,69.51922
Farahrud,3.02500659,2.8277066,2.02851386,2.02851386,3.058367
Baja California,6.517768511,6.647676,0.06982691,0.06982691,0.02453649
Plateau of Tibet Interior,30.81034825,31.717846,76.07022174,74.06205874,99.81806
