Name,xanthos,VIC_1971-2000,WBM,WBMc,UNH_1986-1995
Red Sea East Coast,14.69243316,15.386251,0.05783895,0.05783895,0.3737771
Arabian Peninsula,51.9616136,53.989952,1.57915797,1.57915797,0.16092283
Dead Sea,4.720722654,4.839819,3.27749861,3.27749861,3.0865805
Mexico Northwest Coast,75.71991775,76.90372,11.59963951,11.61046607,6.4215755
Helmand,10.54148568,10.251477,10.06646885,10.06646885,13.35224
Sinai Peninsula,0.178676604,0.1847911,-0.00542004,-0.00542004,0.008401062
Eastern Jordan - Syria,4.176560984,4.335298,0.30757715,0.30757715,1.0154577
Africa Red Sea - Gulf of Aden Coast,32.30495576,33.37116,0.02102191,0.03301131,0.088084005
Caribbean,125.8030641,129.78958,58.13052662,58.13052662,48.949604
Hamun-i-Mashkel,4.575040067,4.7862625,0.42180241,0.42180241,0.77430785
Taiwan,80.42239954,81.70645,58.23198,58.23198,33.669724
Arabian Sea Coast,9.102920896,9.147732,0.11226446,0.11226446,0.19502412
North Gulf,30.09167392,30.09152,19.29807852,19.29807852,12.597626
Yangtze,1007.062381,1021.42,594.0259053,957.3311911,515.5893
Sabarmati,36.13914307,36.19163,6.69546993,4.65457587,10.217396
Xun Jiang,293.2035017,293.03018,186.106385,254.922267,148.65837
Hong (Red River),149.6513957,151.74162,98.942173,98.643723,77.05252
Ganges - Bramaputra,1603.999524,1613.6431,1069.150785,1311.881514,961.25684
Yucatan Peninsula,135.0457146,135.29962,86.98496814,85.89610814,100.13798
South China Sea Coast,90.28399229,91.69158,26.125543,26.125543,40.359055
Mahi,8.570225109,8.709128,6.9199411,12.864621,8.823067
Mexico Interior,11.11333182,11.504707,3.04855488,2.92705044,0.9524841
Pacific Central Coast,24.66496733,25.419823,7.5302343,7.5302343,10.931223
Bay of Bengal North East Coast,247.8025926,246.45361,189.5729,189.5729,191.24454
Tapti,24.39376189,23.928919,17.16686646,25.15651447,15.946778
Yasai,57.5954464,57.89923,24.924889,30.155087,34.205837
Philippines,399.0978978,398.73816,327.2004015,327.2004015,280.59384
Brahamani,49.56609775,49.41723,29.181265,29.598755,28.690372
North Marina Islands and Guam,102.4723516,92.16481,0,0,0
Mahandi,102.2005529,101.871864,58.123591,58.288581,56.089993
Godavari,145.9523774,142.72379,91.99362629,98.67641171,78.88691
Hainan,32.81027419,34.2227,9.3520721,9.3520721,24.439049
Mekong,590.2355422,578.94226,529.8379517,527.4273955,531.30035
Viet Nam Coast,184.4467314,185.84573,130.941794,131.481674,128.82114
Salween,188.4459824,189.44458,174.0139939,176.7650879,105.88205
India North East Coast,28.19670712,27.76201,5.66304718,5.66304718,9.212628
India West Coast,227.5931698,202.65259,101.61419,101.38219,76.266205
Papaloapan,84.59722562,85.07141,38.35189262,38.35189262,39.160904
Rio Lerma,36.02907306,36.74821,26.1249522,14.78007958,9.833443
Rio Verde,42.76646802,43.7162,20.22469109,22.11187429,12.306598
Grijalva - Usumacinta,181.289849,158.00424,125.65793,116.911349,192.48483
Rio Balsas,74.82037201,76.87926,45.67173691,45.67173691,27.801083
Southern Central America,477.7598211,479.27527,442.330813,442.330813,380.73605
Isthmus of Tehuantepec,65.03534662,65.775475,47.23837145,47.23837145,43.180065
Irrawaddy,484.6600612,481.38922,340.4301744,473.5712115,414.90695
Sittang,69.43272186,59.13065,65.82512898,67.2157699,50.347095
Peninsula Malaysia,390.8257983,388.78967,417.5916517,396.1066117,413.1241
Krishna,75.38539294,75.95745,72.86212122,75.76852127,28.942572
Andaman - Nicobar Islands,9.396936902,9.840322,8.85791,8.85791,0
Africa West Coast,702.7641769,710.20557,664.2518796,598.2509776,600.35706
Caribbean Coast,252.181055,254.23921,145.6419383,145.6419383,175.57344
Africa North Interior,33.13402445,33.435555,0.48700076,1.40045098,4.2842183
India East Coast,21.19293213,21.801138,4.04614949,4.04614949,3.8884654
Chao Phraya,43.33434816,43.15334,34.6444214,28.83881033,48.829784
Pennar,16.45275498,16.677652,1.69981804,3.17944913,1.527458
Gulf of Thailand Coast,60.76229838,60.930317,39.050201,39.050201,47.464935
Niger,344.1047411,353.6855,484.2698715,404.5066268,484.0097
Micronesia,227.8963801,239.27794,0,0,0
Lake Chad,110.3502498,115.61861,137.2190575,70.17647067,92.90425
Senegal,43.30089643,42.727314,68.48264501,31.57580492,58.863316
Cauvery,38.91725571,38.49248,24.69861365,18.52357665,29.7609
Sri Lanka,42.39884749,42.482323,51.2502909,51.2502909,27.472477
India South Coast,83.729713,85.59006,13.52369142,13.52369142,26.779356
Orinoco,1315.395614,1116.921,1084.581628,1022.901372,1390.0929
Colombia - Ecuador Pacific Coast,388.8271677,319.0232,279.381319,303.0302432,300.1819
Palau and East Indonesia,55.84649551,53.825165,54.2841,54.2841,74.34414
North Borneo Coast,359.3213446,363.96143,379.37822,379.37822,433.60477
Volta,42.16839231,44.057816,106.5578603,41.42549057,109.358
Northeast South America South Atlantic Coast,582.5373401,567.6172,629.011032,615.632045,703.4322
Gulf of Guinea,1021.47421,1024.2804,534.1182837,490.5933207,745.8677
Sumatra,646.4989885,625.60626,557.214472,557.214472,579.0881
Sulawesi,204.7570098,200.80327,166.5711822,166.5711822,197.66219
Kalimantan,749.8023797,745.9185,865.231493,865.231493,1005.7406
Magdalena,235.4813144,238.85379,209.6632866,219.2059516,228.88094
Irian Jaya Coast,677.0622169,653.0023,590.40414,590.40414,727.909
Amazon,5677.547869,5738.8647,5674.483189,6762.164121,6531.347
South Chile Pacific Coast,559.7858486,572.92706,487.8880919,485.8772629,251.66081
Shebelli - Juba,120.2472283,123.0839,25.76633362,17.46718062,34.64109
Africa East Central Coast,224.7316634,228.05525,234.0272922,198.2244827,269.37875
North Brazil South Atlantic Coast,159.8429507,159.0991,183.430455,151.131556,204.22461
Papua New Guinea Coast,619.1082232,597.3378,439.74596,439.74596,416.60995
Tocantins,432.0944534,434.4649,710.59536,525.490921,1053.8607
Java - Timor,243.2837516,241.20113,204.740684,204.740684,188.08475
Solomon Islands,66.55387445,58.701797,14.63715,14.63715,15.907394
Madasgacar,457.5494286,458.22406,363.6232877,373.2504256,332.26062
Sepik,120.5691358,120.489,123.60103,123.60103,144.23639
Rift Valley,119.5975857,119.37613,86.8307275,85.14509752,70.49498
Peru Pacific Coast,31.14852853,31.359858,21.21114502,21.21114502,17.829708
Fly,140.3004656,136.20235,137.63057,137.63057,144.3688
Angola Coast,79.95989576,79.30216,104.9379463,104.4679323,93.18227
Congo,1362.97499,1426.6028,1762.905462,1294.068744,2263.8384
Australia North Coast,223.1111935,221.3036,141.1765395,158.9292938,195.43474
South Pacific Islands,483.1904913,498.65732,30.93898,30.93898,22.90712
East Brazil South Atlantic Coast,78.30385742,77.81803,64.0408058,59.4236693,71.0941
Parnaiba,87.01933906,86.258255,68.37668162,27.86831003,89.72851
Zambezi,112.3483023,111.61061,390.978466,325.5291476,320.0961
Australia East Coast,173.4554158,177.26575,71.9687411,82.5551153,52.8086
Africa Indian Ocean Coast,33.06456459,32.305332,17.34916678,17.34916678,15.734649
Australia West Coast,43.10360334,40.676453,18.05579902,14.35929202,6.287328
Sao Francisco,114.1483465,115.19742,198.355105,103.1032673,168.46164
Australia Interior,86.43116446,80.3797,-0.05613429,-0.01043504,7.0092025
Orange,47.34817769,47.229565,10.82607139,11.39675501,4.9583983
Uruguay - Brazil South Atlantic Coast,292.3752659,299.69992,321.108883,295.6234066,242.85551
Namibia Coast,6.938203696,6.8557878,0.21084723,0.21084723,0.28714415
Africa South Interior,26.30667396,26.384733,33.1323595,33.12408702,29.135654
South Africa South Coast,66.7049027,67.27167,24.21409866,24.28000546,11.910277
Limpopo,29.84269118,30.663706,18.1893557,21.79055132,7.352872
La Puna Region,39.01130885,37.904293,46.54189048,41.12187678,16.48159
New Zealand,238.9184706,245.51938,257.4234988,257.4234988,308.65457
Australia South Coast,16.13241337,15.981728,1.88613906,1.88613906,1.3318888
Mar Chiquita,18.81166305,18.823006,1.56541726,2.42311165,4.660662
South Africa West Coast,12.11136646,12.274513,1.6329026,1.6329026,1.1832244
Salinas Grandes,15.79484451,16.240147,1.71196954,1.71196954,0.5184155
La Plata,824.7655969,836.2986,977.9505085,780.7691202,921.93256
North Chile Pacific Coast,19.02863372,19.090876,9.31836616,8.97000258,12.97498
Murray - Darling,39.31873199,36.817947,17.28323405,17.32854467,27.696877
Pampas Region,30.78833495,30.114666,0.95308087,0.95308087,1.7304912
North Argentina South Atlantic Coast,50.39437944,49.325054,24.59653236,24.59653236,15.867599
Tasmania,40.99264737,41.817135,29.930895,29.930895,25.26246
South America Colorad,39.52821006,41.316303,18.15314452,15.16511623,12.546377
Negro,45.73292801,45.953423,55.75054452,42.92625244,19.745642
Central Patagonia Highlands,12.43421997,13.856681,5.99165963,27.69239357,1.211626
South Argentina South Atlantic Coast,92.29983464,92.10728,38.0325917,48.84968199,20.73304
Antarctica,35.81672521,38.997784,0,0,0
California River Basin,99.46829939,101.30963,72.58901575,81.68141867,60.659847
Upper Mississippi Basin,185.0265619,179.14655,155.511818,116.483302,95.71332
Lower Mississippi River Basin,144.6688028,147.95938,126.640828,135.815293,150.46138
Upper Colorado River Basin,22.23884203,21.283308,13.38729148,16.8231215,2.9533103
Lower Colorado River Basin,6.2554349,6.40472,0.85800242,0.85056896,2.2281837
Great Basin,32.79899567,31.673561,5.75165668,5.8023613,6.8823323
Missouri River Basin,243.1599549,238.68631,80.38995328,76.27342709,40.050938
Arkansas White Red Basin,144.1647196,140.20514,76.62349775,75.59008431,62.30726
Texas Gulf Coast Basin,88.60043799,88.86626,30.93625985,33.95421417,35.75582
South Atlantic Gulf Basin,306.1509054,310.04086,236.750272,234.6934504,177.9827
Great Lakes Basin,273.3584591,300.92764,465.965108,353.030018,341.89258
Ohio River Basin,183.3930792,189.79758,197.832964,197.051194,151.84929
Pacific Northwest Basin,283.6723775,274.48557,241.3620192,334.1314656,205.02957
Tennessee River Basin,60.27234461,59.882515,59.917974,66.731627,39.368534
Rio Grande River Basin,41.3624474,42.119766,5.98982311,5.52130742,2.7355516
New England Basin,85.64355749,90.91693,141.65714,138.958648,118.76486
Mid Atlantic Basin,109.4786172,116.771454,127.586133,117.058439,83.68139
Hawaii,82.00052108,87.15627,12.154531,12.154531,9.762591
Narmada,52.29332669,52.465363,39.4592117,38.1338552,41.01742
