region,glu_name,region_id,metric_id,landclass,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Africa_Eastern,AfrCstE,2,171,Corn_IRR,0.01999402,0.01698747,0.01647116,0.0169281,0.01754228,0.01587922,0.01663704,0.01704004,0.01711967,0.01744074,0.01663267,0.01632435,0.01585989,0.01528531,0.01721661,0.01585706,0.01526495,0.01409282,0.01328275
Africa_Eastern,AfrCstE,2,171,Corn_RFD,6.89932,6.33461,6.38486,6.64229,6.88393,7.55504,8.39989,9.07152,9.63821,9.92681,9.20072,9.05804,8.74799,8.21373,7.90775,7.64429,7.46466,6.84269,6.81868
Africa_Eastern,AfrCstE,2,171,FiberCrop_IRR,0.01758422,0.01696692,0.01782084,0.01804824,0.01858274,0.01805941,0.01751946,0.01632314,0.01518199,0.01544703,0.01535545,0.01515757,0.01435513,0.01335206,0.01268367,0.01203573,0.01117767,0.01015497,0.00970038
Africa_Eastern,AfrCstE,2,171,FiberCrop_RFD,0.1664848,0.1784928,0.209251,0.230764,0.255367,0.258139,0.263034,0.256284,0.244204,0.249372,0.249149,0.248651,0.237288,0.221085,0.212585,0.20343,0.1880947,0.1684334,0.1587604
Africa_Eastern,AfrCstE,2,171,Forest,7.65762,8.15125,8.57146,8.89773,9.17603,9.44129,9.64695,9.77502,9.78126,9.80791,9.84217,9.74317,9.64618,9.53036,9.3274,9.0319,8.71436,8.40232,8.01976
Africa_Eastern,AfrCstE,2,171,Grassland,73.9833,74.1813,73.0406,72.1935,71.361,70.1432,68.8735,67.9548,67.4164,66.7276,66.6714,66.2659,66.3295,66.6391,66.6538,66.5893,66.7036,67.2751,67.5834
Africa_Eastern,AfrCstE,2,171,MiscCrop_IRR,0.33191,0.334601,0.370677,0.391244,0.41235,0.403655,0.389522,0.368091,0.340399,0.33208,0.323055,0.309693,0.289168,0.265354,0.251488,0.238329,0.221538,0.203456,0.193914
Africa_Eastern,AfrCstE,2,171,MiscCrop_RFD,6.93128,6.39855,6.67042,6.58835,6.50298,6.3709,6.22372,5.94784,5.45579,5.34105,5.22413,5.06884,4.78237,4.41204,4.24375,4.0673,3.77927,3.43805,3.24285
Africa_Eastern,AfrCstE,2,171,OilCrop_IRR,0.0492786,0.0426753,0.0422623,0.0408139,0.0411158,0.0401896,0.0402026,0.0392094,0.0364798,0.0363722,0.0359538,0.035384,0.0336459,0.0321905,0.0313271,0.0295354,0.0283784,0.0264852,0.0265028
Africa_Eastern,AfrCstE,2,171,OilCrop_RFD,0.376358,0.346454,0.362297,0.361896,0.373319,0.371168,0.381236,0.380423,0.354582,0.354657,0.352278,0.350607,0.336353,0.322904,0.318618,0.303265,0.290733,0.268125,0.265391
